district_id,table21,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13
1,18 AND ABOVE,520818,437418,83400,251815,234431,17384,268982,202973,66009,21,14,7
2,18 AND ABOVE,405242,347978,57264,196215,185148,11067,209023,162828,46195,4,2,2
3,18 AND ABOVE,597628,506137,91491,302336,280135,22201,295238,225956,69282,54,46,8
4,18 AND ABOVE,154959,136241,18718,76450,72246,4204,78485,63973,14512,24,22,2
5,18 AND ABOVE,595002,526041,68961,292784,278284,14500,302203,247743,54460,15,14,1
6,18 AND ABOVE,219233,181846,37387,105002,98095,6907,114198,83722,30476,33,29,4
7,18 AND ABOVE,501616,450332,51284,241692,231330,10362,259907,218987,40920,17,15,2
8,18 AND ABOVE,728085,632353,95732,348414,329706,18708,379558,302562,76996,113,85,28
9,18 AND ABOVE,78463,65847,12616,37899,35482,2417,40549,30354,10195,15,11,4
10,18 AND ABOVE,346656,208547,138109,180955,130068,50887,165688,78477,87211,13,2,11
11,18 AND ABOVE,190340,154810,35530,82140,76543,5597,108176,78248,29928,24,19,5
12,18 AND ABOVE,321865,287523,34342,150979,142816,8163,170852,144679,26173,34,28,6
13,18 AND ABOVE,364008,308954,55054,167946,155698,12248,196011,153219,42792,51,37,14
14,18 AND ABOVE,233489,196279,37210,119078,110734,8344,114364,85512,28852,47,33,14
15,18 AND ABOVE,844701,730683,114018,412559,389939,22620,432052,340672,91380,90,72,18
16,18 AND ABOVE,662894,568491,94403,328923,309452,19471,333965,259036,74929,6,3,3
17,18 AND ABOVE,584568,501899,82669,291121,272056,19065,293384,229795,63589,63,48,15
18,18 AND ABOVE,1049446,856950,192496,526258,479571,46687,523001,377253,145748,187,126,61
19,18 AND ABOVE,416283,362510,53773,196886,184141,12745,219367,178348,41019,30,21,9
20,18 AND ABOVE,245314,214169,31145,121837,115100,6737,123457,99056,24401,20,13,7
21,18 AND ABOV,339747,301203,38544,166504,157806,8698,173226,143383,29843,17,14,3
22,18 AND ABOVE,758113,672017,86096,370315,347462,22853,387739,324507,63232,59,48,11
23,18 AND ABOVE,639072,522428,116644,298611,278344,20267,340422,244057,96365,39,27,12
24,18 AND ABOVE,378971,304206,74765,174413,160632,13781,204523,143554,60969,35,20,15
25,18 AND ABOVE,321063,284307,36756,154794,145881,8913,166245,138407,27838,24,19,5
26,OVERALL
18 AND ABOVE,19,35776,17779,17997,18278,11832,6446,17492,5943,11549,6,4
27,18 AND ABOVE,269879,224999,44880,127293,117443,9850,142550,107533,35017,36,23,13
28,18 AND ABOVE,213033,163475,49558,106244,95981,10263,106750,67468,39282,39,26,13
29,18 AND ABOVE,240647,149048,91599,118581,109450,9131,122036,39587,82449,30,11,19
30,18 AND ABOVE,111966,97203,14763,53805,51718,2087,58150,45476,12674,11,9,2
31,18 AND ABOVE,298848,227323,71525,155288,138184,17104,143512,89109,54403,48,30,18
32,18 AND ABOVE,463840,385213,78627,229153,215304,13849,234640,169880,64760,47,29,18
33,18 AND ABOVE,19738,11885,7853,9908,8679,1229,9830,3206,6624,,,
34,18 AND ABOVE,29401,21948,7453,14580,12893,1687,14817,9055,5762,4,4,
35,18 AND ABOVE,61128,45030,16098,29905,27889,2016,31218,17138,14080,5,3,2
36,18 AND ABOVE,11498,8412,3086,5609,4793,816,5889,3619,2270,,,
37,18 AND ABOVE,32762,26945,5817,15132,14177,955,17627,12765,4862,3,3,
38,18 AND ABOVE,17011,13524,3487,8625,7954,671,8383,5568,2815,3,2,1
39,18 AND ABOVE,836713,755866,80847,400728,383546,17182,435909,372256,63653,76,64,12
40,18 AND ABOVE,747196,698501,48695,343896,332213,11683,403235,366225,37010,65,63,2
41,18 AND ABOVE,524463,482676,41787,243627,232945,10682,280764,249674,31090,72,57,15
42,18 AND ABOVE,1441481,1333602,107879,701028,672935,28093,740218,660458,79760,235,209,26
43,18 AND ABOVE,739964,623400,116564,373332,344387,28945,366548,278940,87608,84,73,11
44,18 AND ABOVE,540515,478079,62436,261360,247094,14266,279100,230934,48166,55,51,4
45,18 AND ABOVE,1473796,1247378,226418,732475,673668,58807,741131,573578,167553,190,132,58
46,18 AND ABOVE,670264,590140,80124,325247,308275,16972,344940,281796,63144,77,69,8
47,18 AND ABOVE,1143627,889640,253987,562311,490348,71963,581118,399169,181949,198,123,75
48,18 AND ABOVE,1117173,957796,159377,503162,466457,36705,613876,491234,122642,135,105,30
49,18 AND ABOVE,418282,329191,89091,208810,185726,23084,209434,143444,65990,38,21,17
50,18 AND ABOVE,721232,601459,119773,337318,309074,28244,383814,292306,91508,100,79,21
51,18 AND ABOVE,770368,606723,163645,367013,330761,36252,403257,275891,127366,98,71,27
52,18 AND ABOVE,1520795,1225132,295663,716944,645491,71453,803551,579444,224107,300,197,103
53,18 AND ABOVE,6672332,5616492,1055840,3516281,3231972,284309,3154137,2383136,771001,1914,1384,530
54,18 AND ABOVE,1360122,1097495,262627,710241,637015,73226,649782,460411,189371,99,69,30
55,18 AND ABOVE,617844,481894,135950,313753,274955,38798,303994,206879,97115,97,60,37
56,18 AND ABOVE,1244443,938785,305658,648553,560604,87949,595701,378064,217637,189,117,72
57,18 AND ABOVE,2323849,1878092,445757,1180161,1053413,126748,1143340,824452,318888,348,227,121
58,18 AND ABOVE,514468,390530,123938,257298,220052,37246,257098,170438,86660,72,40,32
59,18 AND ABOVE,1127163,860866,266297,561527,491324,70203,565488,369442,196046,148,100,48
60,18 AND ABOVE,986281,810448,175833,488065,445489,42576,498078,364862,133216,138,97,41
61,18 AND ABOVE,1129445,904795,224650,567278,502022,65256,561989,402660,159329,178,113,65
62,18 AND ABOVE,1191045,959733,231312,607733,540939,66794,583191,418712,164479,121,82,39
63,18 AND ABOVE,164530,143786,20744,82300,76436,5864,82149,67287,14862,81,63,18
64,18 AND ABOVE,1267022,964250,302772,635236,550606,84630,631589,413517,218072,197,127,70
65,18 AND ABOVE,1295171,1027714,267457,648549,564962,83587,646460,462648,183812,162,104,58
66,18 AND ABOVE,1891298,1466029,425269,952833,834161,118672,938125,631651,306474,340,217,123
67,18 AND ABOVE,1059897,813339,246558,511624,440370,71254,548162,372899,175263,111,70,41
68,18 AND ABOVE,755251,581161,174090,379864,321273,58591,375257,259799,115458,130,89,41
69,18 AND ABOVE,763525,621275,142250,380553,342441,38112,382902,278787,104115,70,47,23
70,18 AND ABOVE,2105533,1723123,382410,1062109,941203,120906,1043135,781711,261424,289,209,80
71,18 AND ABOVE,1406481,1173883,232598,707514,632224,75290,698696,541454,157242,271,205,66
72,18 AND ABOVE,1263103,994414,268689,631262,553395,77867,631643,440888,190755,198,131,67
73,18 AND ABOVE,737475,605444,132031,364222,328314,35908,373155,277059,96096,98,71,27
74,18 AND ABOVE,1306205,1012849,293356,646357,565325,81032,659656,447408,212248,192,116,76
75,18 AND ABOVE,313282,253660,59622,153952,136348,17604,159260,117257,42003,70,55,15
76,18 AND ABOVE,362336,268379,93957,179482,151875,27607,182783,116460,66323,71,44,27
77,18 AND ABOVE,427000,328950,98050,211297,180816,30481,215587,148058,67529,116,76,40
78,18 AND ABOVE,392422,307873,84549,195367,166707,28660,196946,141091,55855,109,75,34
79,18 AND ABOVE,411457,333081,78376,203149,177638,25511,208270,155417,52853,38,26,12
80,18 AND ABOVE,592683,441309,151374,296764,249147,47617,295818,192091,103727,101,71,30
81,18 AND ABOVE,1157817,899990,257827,580533,492289,88244,577180,407651,169529,104,50,54
82,18 AND ABOVE,354492,269907,84585,180243,149385,30858,174192,120481,53711,57,41,16
83,18 AND ABOVE,691137,489716,201421,349784,269073,80711,341253,220575,120678,100,68,32
84,18 AND ABOVE,559221,421985,137236,281733,232810,48923,277337,189069,88268,151,106,45
85,OVERALL
18 AND ABOVE,91597,30206,61391,47700,19218,28482,43886,10985,32901,11,3,8
86,18 AND ABOVE,296096,225807,70289,157309,131120,26189,138747,94659,44088,40,28,12
87,18 AND ABOVE,299194,210407,88787,150847,114850,35997,148292,95517,52775,55,40,15
88,18 AND ABOVE,46917,38586,8331,23988,20992,2996,22909,17582,5327,20,12,8
89,18 AND ABOVE,279297,206827,72470,140779,111937,28842,138454,94847,43607,64,43,21
90,18 AND ABOVE,266893,174697,92196,134824,97528,37296,132004,77139,54865,65,30,35
91,18 AND ABOVE,410430,306037,104393,211794,169983,41811,198619,136046,62573,17,8,9
92,18 AND ABOVE,1871033,1553075,317958,974756,882376,92380,895799,670397,225402,478,302,176
93,OVERALL
18 AND ABOVE,19,111258,47183,64075,59613,30401,29212,51628,16774,34854,17,8
94,18 AND ABOVE,1133418,956709,176709,602014,552651,49363,531218,403933,127285,186,125,61
95,18 AND ABOVE,147067,104130,42937,77886,65547,12339,69165,38575,30590,16,8,8
96,18 AND ABOVE,1580387,1291802,288585,833610,754296,79314,746296,537177,209119,481,329,152
97,18 AND ABOVE,474218,369391,104827,255156,222144,33012,219005,147210,71795,57,37,20
98,18 AND ABOVE,518580,372099,146481,261752,206712,55040,256672,165291,91381,156,96,60
99,18 AND ABOVE,627807,480247,147560,316592,264895,51697,311080,215263,95817,135,89,46
100,18 AND ABOVE,396494,303351,93143,199486,162179,37307,196921,141114,55807,87,58,29
101,18 AND ABOVE,714762,530748,184014,362064,293791,68273,352558,236858,115700,140,99,41
102,18 AND ABOVE,612207,474903,137304,308597,260996,47601,303486,213815,89671,124,92,32
103,18 AND ABOVE,550944,420566,130378,277728,232470,45258,273114,188036,85078,102,60,42
104,18 AND ABOVE,41218,31031,10187,20824,18033,2791,20387,12996,7391,7,2,5
105,18 AND ABOVE,129415,85461,43954,64861,49111,15750,64553,36349,28204,1,1,
106,18 AND ABOVE,47827,36822,11005,23945,20581,3364,23882,16241,7641,,,
107,18 AND ABOVE,219265,114722,104543,110880,70045,40835,108321,44656,63665,64,21,43
108,18 AND ABOVE,295094,232711,62383,153903,134865,19038,141181,97839,43342,10,7,3
109,18 AND ABOVE,102311,66818,35493,52518,41428,11090,49790,25388,24402,3,2,1
110,18 AND ABOVE,62688,37676,25012,31445,21030,10415,31242,16646,14596,1,1,
111,18 AND ABOVE,88009,77684,10325,49124,45218,3906,38870,32455,6415,15,11,4
112,18 AND ABOVE,428336,360036,68300,226665,194649,32016,201582,165319,36263,89,68,21
113,18 AND ABOVE,89096,68873,20223,43944,36507,7437,45133,32351,12782,19,15,4
114,18 AND ABOVE,156046,111743,44303,76894,62859,14035,79110,48862,30248,42,22,20
115,18 AND ABOVE,3770,3029,741,1874,1617,257,1895,1411,484,1,1,
116,18 AND ABOVE,113314,67271,46043,58159,43390,14769,55151,23878,31273,4,3,1
117,18 AND ABOVE,167309,108959,58350,82192,65355,16837,85116,43604,41512,1,1,
118,18 AND ABOVE,81481,56227,25254,40035,33186,6849,41438,23035,18403,8,6,2
119,18 AND ABOVE,91832,66837,24995,48231,39624,8607,43594,27208,16386,7,5,2
120,18 AND ABOVE,302228,170627,131601,156725,109567,47158,145499,61059,84440,4,1,3
121,18 AND ABOVE,62243,49067,13176,31962,28050,3912,30278,21014,9264,3,3,
122,18 AND ABOVE,297329,214705,82624,149332,124664,24668,147949,90011,57938,48,30,18
123,18 AND ABOVE,986488,733230,253258,520885,432984,87901,465354,300080,165274,249,166,83
124,18 AND ABOVE,80911,45173,35738,40558,32496,8062,40352,12677,27675,1,1,
125,18 AND ABOVE,34204,24861,9343,17554,14057,3497,16637,10799,5838,13,5,8
126,18 AND ABOVE,84921,37281,47640,43308,25263,18045,41613,12018,29595,,,
127,OVERALL
18 AND ABOVE,7041,2748,4293,3660,1799,1861,3379,948,2431,2,1,1
128,18 AND ABOVE,74236,57746,16490,37129,31491,5638,37087,26241,10846,20,14,6
129,18 AND ABOVE,72317,54370,17947,37382,30950,6432,34926,23412,11514,9,8,1
130,18 AND ABOVE,104903,75118,29785,54018,43683,10335,50880,31433,19447,5,2,3
131,18 AND ABOVE,138644,94917,43727,71565,56081,15484,67066,38828,28238,13,8,5
132,18 AND ABOVE,61866,48687,13179,31232,27546,3686,30625,21134,9491,9,7,2
133,18 AND ABOVE,51405,37323,14082,24890,21188,3702,26515,16135,10380,,,
134,18 AND ABOVE,108540,83557,24983,56003,47673,8330,52536,35883,16653,1,1,
135,18 AND ABOVE,587664,545699,41965,305452,293338,12114,282100,252258,29842,112,103,9
